,Name,Address,Query,Place URL,Latitude,Longitude
0,Apollo Multispeciality Hospitals | Best Hospital in Kolkata,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Apollo+Multispeciality+Hospitals+%7C+Best+Hospital+in+Kolkata/data=!4m7!3m6!1s0x3a0277b5341e8edf:0x620ba314896272e1!8m2!3d22.5733301!4d88.4010152!16s%2Fg%2F11jvrcz_jw!19sChIJ344eNLV3AjoR4XJiiRSjC2I?authuser=0&hl=en&rclk=1,22.5733301,88.4010152
1,Parkview Super Speciality Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Parkview+Super+Speciality+Hospital/data=!4m7!3m6!1s0x3a0275fe063d0027:0xde93531f926e91ec!8m2!3d22.5751387!4d88.4172367!16s%2Fg%2F11gm8btcds!19sChIJJwA9Bv51AjoR7JFukh9Tk94?authuser=0&hl=en&rclk=1,22.5751387,88.4172367
2,RSV Hospital Pvt. Ltd.,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/RSV+Hospital+Pvt.+Ltd./data=!4m7!3m6!1s0x3a0270c7c311075b:0x25555668fdcfec0c!8m2!3d22.5031063!4d88.3445146!16s%2Fg%2F1ptx3x8n9!19sChIJWwcRw8dwAjoRDOzP_WhWVSU?authuser=0&hl=en&rclk=1,22.5031063,88.3445146
3,"Fortis Medical Centre, Kolkata",,"hospital in Kolkata, West Bengal","https://www.google.com/maps/place/Fortis+Medical+Centre,+Kolkata/data=!4m7!3m6!1s0x3a027718789d8f39:0x57418da4a3d5a5d8!8m2!3d22.5388232!4d88.3547968!16s%2Fg%2F1pzq2dbs2!19sChIJOY-deBh3AjoR2KXVo6SNQVc?authuser=0&hl=en&rclk=1",22.5388232,88.3547968
4,Sterling Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Sterling+Hospital/data=!4m7!3m6!1s0x3a02762e0121fb21:0xcf42616b774919ef!8m2!3d22.599935!4d88.3677625!16s%2Fg%2F1tcyjg34!19sChIJIfshAS52AjoR7xlJd2thQs8?authuser=0&hl=en&rclk=1,22.599935,88.3677625
5,"Woodlands Multispeciality Hospital Ltd., Kolkata",,"hospital in Kolkata, West Bengal","https://www.google.com/maps/place/Woodlands+Multispeciality+Hospital+Ltd.,+Kolkata/data=!4m7!3m6!1s0x3a027750f669c89b:0xcbc28975969ccbac!8m2!3d22.5322418!4d88.3291062!16s%2Fg%2F11c526pp6z!19sChIJm8hp9lB3AjoRrMuclnWJwss?authuser=0&hl=en&rclk=1",22.5322418,88.3291062
6,B.P. Poddar Hospital & Medical Research Limited,"General hospital ·  · 71/1, Humayun Kabir Sarani","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/B.P.+Poddar+Hospital+%26+Medical+Research+Limited/data=!4m7!3m6!1s0x3a02774ed3dd45b5:0x7dc703640fcefd6!8m2!3d22.5117888!4d88.3323761!16s%2Fg%2F1tc_pf41!19sChIJtUXd0053AjoR1u_8QDZw3Ac?authuser=0&hl=en&rclk=1,22.5117888,88.3323761
7,Manipal Hospitals Broadway,Manipal Hospitals Broadway,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Manipal+Hospitals+Broadway/data=!4m7!3m6!1s0x3a0275d28237dd49:0xb24c98f0b227ce0b!8m2!3d22.568423!4d88.4116369!16s%2Fg%2F1tf6q63b!19sChIJSd03gtJ1AjoRC84nsvCYTLI?authuser=0&hl=en&rclk=1,22.568423,88.4116369
8,Ruby General Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Ruby+General+Hospital/data=!4m7!3m6!1s0x3a0271359124251b:0xd69e77b5a6181779!8m2!3d22.5135084!4d88.402884!16s%2Fg%2F11c5385dmn!19sChIJGyUkkTVxAjoReRcYprV3ntY?authuser=0&hl=en&rclk=1,22.5135084,88.402884
9,Desun Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Desun+Hospital/data=!4m7!3m6!1s0x3a0273ffba333285:0xe26fc1c3cb8a0d70!8m2!3d22.5146288!4d88.4032479!16s%2Fm%2F0pclsf5!19sChIJhTIzuv9zAjoRcA2Ky8PBb-I?authuser=0&hl=en&rclk=1,22.5146288,88.4032479
10,CMRI Hospital | CK Birla Hospitals,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/CMRI+Hospital+%7C+CK+Birla+Hospitals/data=!4m7!3m6!1s0x3a0277596a6eacc7:0xbf6e76f5b5566257!8m2!3d22.5321698!4d88.3278024!16s%2Fg%2F1hdyyt010!19sChIJx6xuall3AjoRV2JWtfV2br8?authuser=0&hl=en&rclk=1,22.5321698,88.3278024
11,IRIS MULTISPECIALITY HOSPITAL,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/IRIS+MULTISPECIALITY+HOSPITAL/data=!4m7!3m6!1s0x3a02710e3f121717:0x739a6eb46d8a12e3!8m2!3d22.479207!4d88.3758657!16s%2Fg%2F1hm4cn3_k!19sChIJFxcSPw5xAjoR4xKKbbRumnM?authuser=0&hl=en&rclk=1,22.479207,88.3758657
12,"ILS Hospitals, Salt lake",,"hospital in Kolkata, West Bengal","https://www.google.com/maps/place/ILS+Hospitals,+Salt+lake/data=!4m7!3m6!1s0x3a0275c47e1bcb9b:0xb153e6644af38bf6!8m2!3d22.5891732!4d88.4109413!16s%2Fg%2F11hlyqgbt7!19sChIJm8sbfsR1AjoR9ovzSmTmU7E?authuser=0&hl=en&rclk=1",22.5891732,88.4109413
13,BM Birla Heart Hospital | CK Birla Hospitals,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/BM+Birla+Heart+Hospital+%7C+CK+Birla+Hospitals/data=!4m7!3m6!1s0x3a027a8d5360be41:0xd3c85b2644df4490!8m2!3d22.5328893!4d88.3282827!16s%2Fg%2F1tvw3bwl!19sChIJQb5gU416AjoRkETfRCZbyNM?authuser=0&hl=en&rclk=1,22.5328893,88.3282827
14,Nightingale Hospital,"Hospital ·  · 11, Nagaland House, 11, Shakespeare Sarani","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Nightingale+Hospital/data=!4m7!3m6!1s0x3a027710cdaa874b:0xb81eb662424fe14b!8m2!3d22.5460382!4d88.3515384!16s%2Fg%2F1tfvrckh!19sChIJS4eqzRB3AjoRS-FPQmK2Hrg?authuser=0&hl=en&rclk=1,22.5460382,88.3515384
15,"Manipal Hospital, Salt Lake","Hospital ·  · IB-193, Broadway Rd","hospital in Kolkata, West Bengal","https://www.google.com/maps/place/Manipal+Hospital,+Salt+Lake/data=!4m7!3m6!1s0x3a0275c1513d0b19:0xeaf5597a0cee8cb!8m2!3d22.5724101!4d88.4127851!16s%2Fg%2F1tfblqn2!19sChIJGQs9UcF1AjoRy-jOoJdVrw4?authuser=0&hl=en&rclk=1",22.5724101,88.4127851
16,Manipal Hospitals - Mukundapur,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Manipal+Hospitals+-+Mukundapur/data=!4m7!3m6!1s0x3a0273e010a87231:0x28450505db01cf79!8m2!3d22.4941477!4d88.402129!16s%2Fg%2F1q69xq6dy!19sChIJMXKoEOBzAjoRec8B2wUFRSg?authuser=0&hl=en&rclk=1,22.4941477,88.402129
17,Mercy Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Mercy+Hospital/data=!4m7!3m6!1s0x3a02771c4b506f0f:0xa574250fb179aaa1!8m2!3d22.5472776!4d88.360548!16s%2Fg%2F1tx8rm5m!19sChIJD29QSxx3AjoRoap5sQ8ldKU?authuser=0&hl=en&rclk=1,22.5472776,88.360548
18,Charnock Hospital,"Private hospital ·  · BMC 195, Biswa Bangla Sarani","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Charnock+Hospital/data=!4m7!3m6!1s0x39f89e31bdc08491:0xc5041e3b18a9b07a!8m2!3d22.6257993!4d88.4348323!16s%2Fg%2F1td9z2ml!19sChIJkYTAvTGe-DkRerCpGDseBMU?authuser=0&hl=en&rclk=1,22.6257993,88.4348323
19,North City Hospital,"General hospital ·  · 73 & 81B, Bagmari Road, Near Ultadanga Hudco Stop","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/North+City+Hospital/data=!4m7!3m6!1s0x3a02760d22d31123:0x76ef3ed7f703f5a2!8m2!3d22.5893521!4d88.3937363!16s%2Fg%2F1tx8rm4k!19sChIJIxHTIg12AjoRovUD99c-73Y?authuser=0&hl=en&rclk=1,22.5893521,88.3937363
20,Kolkata Port Trust Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Kolkata+Port+Trust+Hospital/data=!4m7!3m6!1s0x3a0279ff0a2985c7:0xad0c23a4e077f669!8m2!3d22.5178199!4d88.3214003!16s%2Fg%2F121dcvpl!19sChIJx4UpCv95AjoRafZ34KQjDK0?authuser=0&hl=en&rclk=1,22.5178199,88.3214003
21,R G Kar Medical College & Hospital,"General hospital ·  · 1, Khudiram Bose Sarani","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/R+G+Kar+Medical+College+%26+Hospital/data=!4m7!3m6!1s0x3a0277c174650abd:0x5ae8e0074619fab9!8m2!3d22.6045354!4d88.37827!16s%2Fm%2F04ljxx0!19sChIJvQpldMF3AjoRufoZRgfg6Fo?authuser=0&hl=en&rclk=1,22.6045354,88.37827
22,Eskag Sanjeevani Multispecialty Hospital - Baghbazar,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Eskag+Sanjeevani+Multispecialty+Hospital+-+Baghbazar/data=!4m7!3m6!1s0x3a02713de58f33d9:0x64724e3aca4132ea!8m2!3d22.6040431!4d88.3678184!16s%2Fg%2F1tkb3jgs!19sChIJ2TOP5T1xAjoR6jJByjpOcmQ?authuser=0&hl=en&rclk=1,22.6040431,88.3678184
23,S. H. Binayak | Multispeciality Hospital in Baranagar,S. H. Binayak | Multispeciality Hospital in Baranagar,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/S.+H.+Binayak+%7C+Multispeciality+Hospital+in+Baranagar/data=!4m7!3m6!1s0x39f89debdb5882f9:0x955a7ed7bd91bd8b!8m2!3d22.6315203!4d88.3860977!16s%2Fg%2F11d_8d0w5r!19sChIJ-YJY2-ud-DkRi72Rvdd-WpU?authuser=0&hl=en&rclk=1,22.6315203,88.3860977
24,"ILS Hospitals, Howrah",,"hospital in Kolkata, West Bengal","https://www.google.com/maps/place/ILS+Hospitals,+Howrah/data=!4m7!3m6!1s0x3a0277c1f2f67309:0x2d4ba68221440468!8m2!3d22.592892!4d88.3445316!16s%2Fg%2F11dxn127ct!19sChIJCXP28sF3AjoRaAREIYKmSy0?authuser=0&hl=en&rclk=1",22.592892,88.3445316
25,Institute of Post Graduate Medical Education & Research and SSKM Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Institute+of+Post+Graduate+Medical+Education+%26+Research+and+SSKM+Hospital/data=!4m7!3m6!1s0x3a02773fe291de33:0x6e7b66863150f953!8m2!3d22.5395216!4d88.3417598!16s%2Fm%2F03npzyp!19sChIJM96R4j93AjoRU_lQMYZme24?authuser=0&hl=en&rclk=1,22.5395216,88.3417598
26,"ADS Hospital , Howrah",,"hospital in Kolkata, West Bengal","https://www.google.com/maps/place/ADS+Hospital+,+Howrah/data=!4m7!3m6!1s0x3a0277ea1ba2ac65:0xdd8732b439b9a75b!8m2!3d22.593212!4d88.3433199!16s%2Fg%2F11pv4rd3z4!19sChIJZayiG-p3AjoRW6e5ObQyh90?authuser=0&hl=en&rclk=1",22.593212,88.3433199
27,Genesis Hospital,"Hospital ·  · 1470, Rajdanga Main Road, beside Gst Bhawan","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Genesis+Hospital/data=!4m7!3m6!1s0x3a02715dfe20ad5f:0x755301a34a2ff9a2!8m2!3d22.514124!4d88.3990403!16s%2Fg%2F11s7g3gr9l!19sChIJX60g_l1xAjoRovkvSqMBU3U?authuser=0&hl=en&rclk=1,22.514124,88.3990403
28,Techno India DAMA Healthcare & Medical Centre,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Techno+India+DAMA+Healthcare+%26+Medical+Centre/data=!4m7!3m6!1s0x3a02742df11cabfb:0x18a3aa3cf00f534!8m2!3d22.5592744!4d88.4108656!16s%2Fg%2F11by_qjzfw!19sChIJ-6sc8S10AjoRNPUAz6M6igE?authuser=0&hl=en&rclk=1,22.5592744,88.4108656
29,Anandalok Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Anandalok+Hospital/data=!4m7!3m6!1s0x3a0275bfaedc1f6b:0x110d331a27340720!8m2!3d22.5847612!4d88.4230856!16s%2Fg%2F11f3_2n7vm!19sChIJax_crr91AjoRIAc0JxozDRE?authuser=0&hl=en&rclk=1,22.5847612,88.4230856
30,M R Bangur Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/M+R+Bangur+Hospital/data=!4m7!3m6!1s0x3a0270c6c4eb0edd:0xab86f4a289f70fd8!8m2!3d22.4994392!4d88.3464321!16s%2Fg%2F1tknz64g!19sChIJ3Q7rxMZwAjoR2A_3iaL0hqs?authuser=0&hl=en&rclk=1,22.4994392,88.3464321
31,Cosmos Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Cosmos+Hospital/data=!4m7!3m6!1s0x3a02715ddbffffff:0x91e8369d6fc23da3!8m2!3d22.493685!4d88.3969315!16s%2Fg%2F1vfn51kg!19sChIJ____211xAjoRoz3Cb5026JE?authuser=0&hl=en&rclk=1,22.493685,88.3969315
32,J N Ray Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/J+N+Ray+Hospital/data=!4m7!3m6!1s0x3a027646bd344e2b:0x1c056e729e0eeea!8m2!3d22.5833464!4d88.3762896!16s%2Fg%2F11c3tp8qxc!19sChIJK040vUZ2AjoR6u7gKedWwAE?authuser=0&hl=en&rclk=1,22.5833464,88.3762896
33,TRA General Hospital,"General hospital ·  · 7, Dr Biresh Guha Street, 4 Number Brg","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/TRA+General+Hospital/data=!4m7!3m6!1s0x3a0276dd6ece0e29:0x4feae4e1e8f1e7ee!8m2!3d22.5393233!4d88.3709167!16s%2Fg%2F1th80c27!19sChIJKQ7Obt12AjoR7ufx6OHk6k8?authuser=0&hl=en&rclk=1,22.5393233,88.3709167
34,Lady Dufferin Victoria Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Lady+Dufferin+Victoria+Hospital/data=!4m7!3m6!1s0x3a0276546d0a91bb:0x9f928c0fd63487dd!8m2!3d22.5692706!4d88.3659627!16s%2Fg%2F1q66sxbd8!19sChIJu5EKbVR2AjoR3Yc01g-Mkp8?authuser=0&hl=en&rclk=1,22.5692706,88.3659627
35,Infectious Diseases & Beleghata General Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Infectious+Diseases+%26+Beleghata+General+Hospital/data=!4m7!3m6!1s0x3a027680f331aad1:0xd8f78431a8f73b1f!8m2!3d22.5632949!4d88.3985491!16s%2Fg%2F1tp8ygc5!19sChIJ0aox84B2AjoRHzv3qDGE99g?authuser=0&hl=en&rclk=1,22.5632949,88.3985491
36,Sambhunath Pandit Hospital,"General hospital ·  · 11, lala lajput rai road","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Sambhunath+Pandit+Hospital/data=!4m7!3m6!1s0x3a027719c50f88b5:0xdc7a1da191bfb28e!8m2!3d22.5382183!4d88.3483548!16s%2Fg%2F1tdb2pmv!19sChIJtYgPxRl3AjoRjrK_kaEdetw?authuser=0&hl=en&rclk=1,22.5382183,88.3483548
37,kolkata Hospital,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/kolkata+Hospital/data=!4m7!3m6!1s0x3a0279967186b6cd:0x8d5d81dc4cdd45d1!8m2!3d22.5351519!4d88.3227069!16s%2Fg%2F11gn25bh5z!19sChIJzbaGcZZ5AjoR0UXdTNyBXY0?authuser=0&hl=en&rclk=1,22.5351519,88.3227069
38,Shree Jain Hospital and Research Centre | Best Multispeciality Hospital in Howrah | Affordable & Quality Healthcare,,"hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Shree+Jain+Hospital+and+Research+Centre+%7C+Best+Multispeciality+Hospital+in+Howrah+%7C+Affordable+%26+Quality+Healthcare/data=!4m7!3m6!1s0x3a027784391cba17:0xc7d5dfa4eae75a38!8m2!3d22.5716892!4d88.3298895!16s%2Fg%2F1tgcwgvp!19sChIJF7ocOYR3AjoROFrn6qTf1cc?authuser=0&hl=en&rclk=1,22.5716892,88.3298895
39,Howrah District Hospital,"Government hospital ·  · 10, 11 Biplabi haren, Pratap Ghosh Sarani","hospital in Kolkata, West Bengal",https://www.google.com/maps/place/Howrah+District+Hospital/data=!4m7!3m6!1s0x3a0277919e1ff5d3:0xb0543169117e9db!8m2!3d22.5801688!4d88.3358949!16s%2Fg%2F1tcznsht!19sChIJ0_UfnpF3AjoR2-kXkRZDBQs?authuser=0&hl=en&rclk=1,22.5801688,88.3358949
